;BUSINESSPARTNERID2;FIRSTCONTACTDATE2;BUSINESSPARTNERCATEGORY2;GIVENNAMES;LASTNAME;CONSULTATION;GENDER;NAMEATBIRTH;DATEOFBIRTH;PLACEOFBIRTH;MARITALSTATUS;EDUCATIONLEVEL;ISHOMEOWNER;NUMBERHOUSEHOLDMEMBERS;CHILDRENATHOMEINDICATOR
1;6131;04.06.2012;Individual;Jessica;Smith;;female;Smith;08.12.1965;;Married;Bachelor;0;1;0
2;6132;30.01.2016;Individual;Kayla;Smith;;female;Smith;17.02.1966;;Single;HighSchool;0;1;0
3;6133;16.02.2012;Individual;Brittany;Anderson;;female;Anderson;30.09.1964;;Married;9thGrade;1;1;0
4;6134;18.05.2016;Individual;Jennifer;Anderson;;female;Anderson;23.09.1967;;Married;HighSchool;1;1;1
5;6135;16.02.2017;Individual;Rebecca;Anderson;;female;Anderson;27.05.1986;;Single;Bachelor;0;1;1
6;6136;19.07.2014;Individual;Stephanie;Anderson;;female;Anderson;04.12.1981;;Married;Bachelor;0;3;1
7;6137;22.02.2012;Individual;Amber;Brown;;female;Brown;17.11.1958;;Single;HighSchool;0;1;0
8;6138;25.09.2012;Individual;Rebecca;Garufi;;female;Garufi;07.04.1958;;Married;SmeCollege;1;1;1
9;6139;27.10.2015;Individual;Stephanie;Garufi;;female;Garufi;27.06.1965;;Married;Master;1;3;1
10;6140;05.04.2015;Individual;Alexandra;Hernandez;;female;Hernandez;17.11.1973;;Married;HighSchool;1;1;1
11;6141;29.12.2014;Individual;Elizabeth;Hernandez;;female;Hernandez;07.04.1985;;Single;Master;1;2;0
12;6142;15.06.2017;Individual;Megan;Hernandez;;female;Hernandez;01.10.1963;;Single;9thGrade;1;1;0
13;6143;12.01.2013;Individual;Emily;Martin;;female;Martin;16.12.1959;;Married;HighSchool;0;2;1
14;6144;26.11.2016;Individual;Morgan;Martin;;female;Martin;12.09.1965;;Single;HighSchool;0;2;0
15;6357;28.01.2012;Individual;Anna;Thomas;;female;Thomas;17.10.1975;;Married;SmeCollege;0;3;0
16;6145;20.07.2015;Individual;Elizabeth;Poquette;;female;Poquette;13.05.1963;;Married;AssocDgree;0;3;1
17;6358;26.02.2016;Individual;Danielle;Thomas;;female;Thomas;28.01.1962;;Married;HighSchool;0;2;0
18;6146;28.08.2016;Individual;Megan;Poquette;;female;Poquette;11.08.1976;;Single;Bachelor;1;1;0
19;6359;20.11.2013;Individual;Hannah;Thomas;;female;Thomas;03.01.1970;;Single;HighSchool;1;1;0
20;6147;16.06.2017;Individual;Olivia;Poquette;;female;Poquette;25.11.1970;;Single;SmeCollege;1;2;1
21;6360;17.09.2012;Individual;Amber;Wieser;;female;Wieser;08.10.1959;;Married;SmeCollege;1;3;0
22;6148;24.01.2012;Individual;Amber;Rim;;female;Rim;18.01.1979;;Married;9thGrade;0;1;0
23;6361;28.09.2015;Individual;Brianna;Wieser;;female;Wieser;05.01.1968;;Married;Bachelor;1;2;0
24;6149;02.07.2016;Individual;Brianna;Rim;;female;Rim;22.07.1972;;Single;HighSchool;1;2;0
25;6362;30.06.2016;Individual;Jasmine;Wieser;;female;Wieser;02.12.1967;;Married;HighSchool;0;1;1
26;6150;13.08.2015;Individual;Rachel;Thomas;;female;Thomas;28.02.1972;;Married;HighSchool;1;3;1
27;6363;27.11.2016;Individual;Katherine;Wieser;;female;Wieser;08.04.1978;;Single;Bachelor;1;4;1
28;6151;27.04.2013;Individual;Sarah;Thomas;;female;Thomas;17.12.1977;;Single;HighSchool;1;1;1
29;6364;10.12.2014;Individual;Lauren;Wieser;;female;Wieser;13.04.1966;;Married;Bachelor;1;2;0
30;6152;15.04.2013;Individual;Shelby;Thomas;;female;Thomas;09.03.1983;;Married;Bachelor;0;3;0
31;6365;22.09.2012;Individual;Madison;Wieser;;female;Wieser;22.03.1973;;Single;9thGrade;0;1;0
32;6153;18.05.2014;Individual;Haley;Thompson;;female;Thompson;30.08.1986;;Married;9thGrade;0;1;1
33;6366;15.09.2015;Individual;Rachel;Wieser;;female;Wieser;25.09.1972;;Married;9thGrade;0;4;0
34;6154;13.11.2012;Individual;Kimberly;Thompson;;female;Thompson;09.08.1972;;Married;HighSchool;0;2;0
35;6367;28.07.2016;Individual;Sarah;Wieser;;female;Wieser;01.03.1985;;Single;Master;1;2;1
36;6155;23.10.2014;Individual;Amber;Wilson;;female;Wilson;01.10.1985;;Married;HighSchool;0;3;1
37;6368;02.05.2014;Individual;Shelby;Wieser;;female;Wieser;28.10.1964;;Married;Master;0;1;0
38;6156;26.05.2015;Individual;Brianna;Wilson;;female;Wilson;20.01.1985;;Single;AssocDgree;1;4;0
39;6369;20.12.2016;Individual;Haley;Amigon;;female;Amigon;29.09.1964;;Married;Bachelor;0;4;0
40;6157;13.08.2012;Individual;Jasmine;Wilson;;female;Wilson;09.02.1982;;Married;9thGrade;0;2;0
41;6370;11.04.2012;Individual;Kimberly;Amigon;;female;Amigon;12.04.1965;;Single;AssocDgree;1;4;0
42;6158;12.09.2014;Individual;Katherine;Wilson;;female;Wilson;09.04.1980;;Single;SmeCollege;1;2;0
43;6371;26.09.2015;Individual;Taylor;Amigon;;female;Amigon;10.06.1981;;Married;Bachelor;1;1;0
44;6159;24.04.2013;Individual;Lauren;Wilson;;female;Wilson;09.12.1971;;Married;AssocDgree;1;1;1
45;6372;24.04.2016;Individual;Samantha;Jackson;;female;Jackson;26.06.1973;;Married;AssocDgree;0;3;0
46;6160;01.11.2016;Individual;Madison;Wilson;;female;Wilson;15.09.1981;;Single;Bachelor;1;3;0
47;6373;07.01.2014;Individual;Victoria;Jackson;;female;Jackson;19.12.1975;;Single;Bachelor;0;1;1
48;6161;30.03.2012;Individual;Rachel;Wilson;;female;Wilson;27.09.1983;;Married;AssocDgree;1;2;0
49;6374;13.04.2017;Individual;Haley;Johnson;;female;Johnson;11.12.1977;;Married;SmeCollege;0;3;1
50;6162;27.11.2012;Individual;Sarah;Wilson;;female;Wilson;06.12.1970;;Married;HighSchool;0;3;1
51;6163;27.12.2016;Individual;Shelby;Wilson;;female;Wilson;15.05.1986;;Single;SmeCollege;1;1;0
52;6375;03.03.2013;Individual;Kimberly;Johnson;;female;Johnson;06.01.1969;;Married;AssocDgree;0;4;1
53;6164;18.02.2016;Individual;Brianna;Brown;;female;Brown;08.05.1962;;Single;Bachelor;1;4;0
54;6376;27.05.2013;Individual;Courtney;Miller;;female;Miller;22.10.1964;;Married;Bachelor;1;3;1
55;6165;13.05.2013;Individual;Jasmine;Brown;;female;Brown;23.04.1967;;Single;HighSchool;1;2;0
56;6377;19.07.2015;Individual;Kelsey;Miller;;female;Miller;30.12.1971;;Single;Master;1;2;1
57;6166;13.04.2014;Individual;Katherine;Brown;;female;Brown;03.09.1978;;Single;SmeCollege;0;3;1
58;6378;13.04.2015;Individual;Mary;Miller;;female;Miller;02.05.1971;;Single;HighSchool;1;4;0
59;6167;18.09.2014;Individual;Lauren;Brown;;female;Brown;09.05.1979;;Married;HighSchool;0;2;0
60;6379;09.03.2013;Individual;Samantha;Miller;;female;Miller;15.10.1971;;Married;AssocDgree;1;4;1
61;6168;08.06.2017;Individual;Emily;Miller;;female;Miller;12.02.1982;;Single;Bachelor;1;4;0
62;6380;07.12.2015;Individual;Victoria;Miller;;female;Miller;20.02.1982;;Single;9thGrade;0;2;0
63;6381;24.09.2014;Individual;Alexandra;Moore;;female;Moore;31.05.1977;;Married;HighSchool;0;2;0
64;6169;01.01.2013;Individual;Morgan;Miller;;female;Miller;10.01.1977;;Single;Bachelor;1;2;0
65;6382;24.08.2015;Individual;Melissa;Ruta;;female;Ruta;02.08.1983;;Single;HighSchool;1;2;1
66;6170;27.08.2014;Individual;Rebecca;Ruta;;female;Ruta;06.09.1985;;Single;Master;0;3;0
67;6383;19.05.2012;Individual;Abigail;Smith;;female;Smith;16.09.1980;;Married;HighSchool;0;3;1
68;6171;23.11.2012;Individual;Stephanie;Ruta;;female;Ruta;07.04.1963;;Married;Bachelor;0;4;1
69;6384;11.11.2013;Individual;Katherine;Rim;;female;Rim;12.10.1964;;Single;Bachelor;1;4;0
