;FIN_FINANCIALCONTRACTID;FIN_SOURCESYSTEM;SEQUENCENUMBER3;ISSUENUMBER;NUMBERONCARD;VALIDFROMONCARD;VALIDTOONCARD;LIFECYCLESTATUS2;ISSUEREASON;CARDDELIVERYDATE;PINDELIVERYDATE;SHIPPINGMETHOD
1;100001357;CARDSYSTEM;100001357;1;598093489;02.02.2012;01.02.2016;active;FirstIssue;05.02.2012;11.02.2012;StandardMail
2;100001358;CARDSYSTEM;100001358;1;702259995;06.03.2016;05.03.2020;active;FirstIssue;12.03.2016;15.03.2016;StandardMail
3;100001359;CARDSYSTEM;100001359;1;110372894;26.11.2013;25.11.2017;active;FirstIssue;02.12.2013;07.12.2013;StandardMail
4;100001360;CARDSYSTEM;100001360;1;860202926;22.09.2012;21.09.2016;active;FirstIssue;27.09.2012;03.10.2012;StandardMail
5;100001361;CARDSYSTEM;100001361;1;538602735;07.10.2015;06.10.2019;active;FirstIssue;11.10.2015;16.10.2015;StandardMail
6;100001362;CARDSYSTEM;100001362;1;60098619;09.07.2016;08.07.2020;active;FirstIssue;12.07.2016;19.07.2016;StandardMail
7;100001363;CARDSYSTEM;100001363;1;511830285;02.12.2016;01.12.2020;active;FirstIssue;06.12.2016;11.12.2016;StandardMail
8;100001364;CARDSYSTEM;100001364;1;813434625;16.12.2014;15.12.2018;active;FirstIssue;19.12.2014;26.12.2014;StandardMail
9;100001365;CARDSYSTEM;100001365;1;474975706;27.09.2012;26.09.2016;active;FirstIssue;03.10.2012;07.10.2012;StandardMail
10;100001366;CARDSYSTEM;100001366;1;307330245;24.09.2015;23.09.2019;active;FirstIssue;28.09.2015;02.10.2015;StandardMail
11;100001367;CARDSYSTEM;100001367;1;367062791;03.08.2016;02.08.2020;active;FirstIssue;08.08.2016;12.08.2016;StandardMail
12;100001368;CARDSYSTEM;100001368;1;783599700;08.05.2014;07.05.2018;active;FirstIssue;12.05.2014;17.05.2014;StandardMail
13;100001369;CARDSYSTEM;100001369;1;243599723;25.12.2016;24.12.2020;active;FirstIssue;30.12.2016;02.01.2017;StandardMail
14;100001370;CARDSYSTEM;100001370;1;731404805;19.04.2012;18.04.2016;active;FirstIssue;22.04.2012;27.04.2012;StandardMail
15;100001371;CARDSYSTEM;100001371;1;306509855;03.10.2015;02.10.2019;active;FirstIssue;08.10.2015;14.10.2015;StandardMail
16;100001372;CARDSYSTEM;100001372;1;431622925;29.04.2016;28.04.2020;active;FirstIssue;05.05.2016;10.05.2016;StandardMail
17;100001373;CARDSYSTEM;100001373;1;47528542;16.01.2014;15.01.2018;active;FirstIssue;21.01.2014;27.01.2014;StandardMail
18;100001374;CARDSYSTEM;100001374;1;1006497255;22.04.2017;21.04.2021;active;FirstIssue;28.04.2017;30.04.2017;StandardMail
